,Worst Policies Median,Other Policies Median,Difference,p-value,Significant (p < 0.05)
0_RfR 0,0.0,0.0,0.0,1.0,False
0_RfR 1,0.0,0.0,0.0,1.0,False
0_RfR 2,0.0,0.0,0.0,1.0,False
1_RfR 0,0.0,0.0,0.0,1.0,False
1_RfR 1,0.0,0.0,0.0,1.0,False
1_RfR 2,0.0,0.0,0.0,1.0,False
2_RfR 0,0.0,0.0,0.0,1.0,False
2_RfR 1,0.0,0.0,0.0,1.0,False
2_RfR 2,0.0,0.0,0.0,1.0,False
3_RfR 0,0.0,0.0,0.0,1.0,False
3_RfR 1,1.0,0.0,1.0,5.619232183849166e-89,True
3_RfR 2,0.0,0.0,0.0,1.4760387925099329e-105,True
4_RfR 0,0.0,0.0,0.0,1.0,False
4_RfR 1,0.0,0.0,0.0,1.0,False
4_RfR 2,0.0,0.0,0.0,1.0,False
EWS_DaysToThreat,0.0,0.0,0.0,1.0,False
A.1_DikeIncrease 0,7.0,1.0,6.0,0.0,True
A.1_DikeIncrease 1,7.0,2.0,5.0,0.0,True
A.1_DikeIncrease 2,6.0,6.0,0.0,1.0,False
A.2_DikeIncrease 0,1.0,0.0,1.0,1.0,False
A.2_DikeIncrease 1,0.0,0.0,0.0,3.388416663439927e-32,True
A.2_DikeIncrease 2,1.0,0.0,1.0,1.0,False
A.3_DikeIncrease 0,3.0,5.0,-2.0,4.4798993175765196e-27,True
A.3_DikeIncrease 1,6.0,2.0,4.0,0.0,True
A.3_DikeIncrease 2,4.0,6.0,-2.0,0.0,True
A.4_DikeIncrease 0,2.0,0.0,2.0,0.0,True
A.4_DikeIncrease 1,2.0,0.0,2.0,0.0,True
A.4_DikeIncrease 2,4.0,0.0,4.0,0.0,True
A.5_DikeIncrease 0,4.0,6.0,-2.0,0.0,True
A.5_DikeIncrease 1,0.0,0.0,0.0,1.0,False
A.5_DikeIncrease 2,0.0,0.0,0.0,1.0,False
